,Node,in_degree,out_degree,degree,closeness,betweeness,ntweets,nretweets,nfollowers,tweet_type,virality,degree_category,Hashtag,ttweets
5908,AshtonNFTs,0,1767,1767,0.0,0.0,1.0,1.0,59557,Tweeter,0.029669056534076598,,#BoredApeYatch,2.0
5909,oesnetwork,0,966,966,0.0,0.0,2.0,0.0,25765,Tweeter,0.03749272268581409,1000,#BoredApeYatch,2.0
5910,altavagroup,0,87,87,0.0,0.0,1.0,0.0,110664,Tweeter,0.0007861635220125787,100,#BoredApeYatch,1.0
5911,okx,0,71,71,0.0,0.0,4.0,0.0,2766745,Tweeter,2.5661924029861806e-05,100,#BoredApeYatch,4.0
5912,Hakibot_eth,0,57,57,0.0,0.0,3.0,0.0,5279,Tweeter,0.010797499526425459,100,#BoredApeYatch,3.0
5913,cityapez,0,49,49,0.0,0.0,4.0,0.0,6849,Tweeter,0.00715432909913856,50,#BoredApeYatch,4.0
5914,JRArtSpace_NFT,0,46,46,0.0,0.0,3.0,0.0,41331,Tweeter,0.0011129660545353367,50,#BoredApeYatch,3.0
5915,ggclx_,0,40,40,0.0,0.0,2.0,0.0,5753,Tweeter,0.006952894142186685,50,#BoredApeYatch,2.0
5916,captainott,0,39,39,0.0,0.0,2.0,0.0,8631,Tweeter,0.0045185957594716716,50,#BoredApeYatch,2.0
5917,Ape4249,0,38,38,0.0,0.0,2.0,0.0,11041,Tweeter,0.003441717235757631,50,#BoredApeYatch,2.0
5918,dingdinghanfu,0,36,36,0.0,0.0,2.0,0.0,7971,Tweeter,0.004516371847948814,50,#BoredApeYatch,2.0
5919,0xPizzadough,0,35,35,0.0,0.0,1.0,0.0,7925,Tweeter,0.004416403785488959,50,#BoredApeYatch,1.0
5920,SuperNfty,0,32,32,0.0,0.0,1.0,0.0,19399,Tweeter,0.0016495695654415176,50,#BoredApeYatch,1.0
5921,AussieMxo,0,31,31,0.0,0.0,2.0,0.0,527,Tweeter,0.058823529411764705,50,#BoredApeYatch,2.0
5922,Science_Qs,0,31,31,0.0,0.0,1.0,0.0,6959,Tweeter,0.0044546630262968815,50,#BoredApeYatch,1.0
5923,waodao_ai,0,31,31,0.0,0.0,2.0,0.0,228,Tweeter,0.13596491228070176,50,#BoredApeYatch,2.0
5924,derktargin1,0,29,29,0.0,0.0,1.0,0.0,4538,Tweeter,0.006390480387836051,50,#BoredApeYatch,1.0
5925,ShrewdCharlie,0,29,29,0.0,0.0,1.0,0.0,38453,Tweeter,0.0007541674251683874,50,#BoredApeYatch,1.0
5926,SaintBayview,0,28,28,0.0,0.0,1.0,0.0,11234,Tweeter,0.002492433683460922,50,#BoredApeYatch,1.0
5927,0xCryptoCameron,0,27,27,0.0,0.0,1.0,0.0,13709,Tweeter,0.0019695090816252096,50,#BoredApeYatch,1.0
5928,ApexMoon1,0,26,26,0.0,0.0,1.0,0.0,3007,Tweeter,0.008646491519787164,50,#BoredApeYatch,1.0
5929,kobrakao,0,26,26,0.0,0.0,1.0,0.0,27942,Tweeter,0.0009304988905590151,50,#BoredApeYatch,1.0
5930,mich_viljoen,0,25,25,0.0,0.0,1.0,0.0,13950,Tweeter,0.0017921146953405018,50,#BoredApeYatch,1.0
5931,Lizzyhammonds1,0,23,23,0.0,0.0,1.0,0.0,2772,Tweeter,0.008297258297258298,50,#BoredApeYatch,1.0
5932,XXgoforit99,0,23,23,0.0,0.0,1.0,0.0,1123,Tweeter,0.020480854853072127,50,#BoredApeYatch,1.0
5933,studioventures,0,23,23,0.0,0.0,1.0,0.0,7251,Tweeter,0.0031719762791339126,50,#BoredApeYatch,1.0
5934,PAPA_NFT,0,22,22,0.0,0.0,1.0,0.0,1407,Tweeter,0.015636105188343994,50,#BoredApeYatch,1.0
5935,TiltingS,0,22,22,0.0,0.0,1.0,0.0,1954,Tweeter,0.011258955987717503,50,#BoredApeYatch,1.0
5936,SixFigureJPEG,0,21,21,0.0,0.0,1.0,0.0,233,Tweeter,0.09012875536480687,50,#BoredApeYatch,1.0
5937,Cakes_Voice,0,21,21,0.0,0.0,1.0,0.0,1687,Tweeter,0.012448132780082987,50,#BoredApeYatch,1.0
5938,yaaagin_,0,20,20,0.0,0.0,1.0,0.0,5301,Tweeter,0.003772873042822109,50,#BoredApeYatch,1.0
5939,OscarC1111,0,20,20,0.0,0.0,1.0,0.0,1007,Tweeter,0.019860973187686197,50,#BoredApeYatch,1.0
5940,maggie6123,0,20,20,0.0,0.0,1.0,0.0,4259,Tweeter,0.0046959380136182205,50,#BoredApeYatch,1.0
5941,Dabbing_dad_NFT,0,20,20,0.0,0.0,1.0,0.0,3904,Tweeter,0.005122950819672131,50,#BoredApeYatch,1.0
5942,BrianNyc14,0,20,20,0.0,0.0,1.0,0.0,3180,Tweeter,0.006289308176100629,50,#BoredApeYatch,1.0
5943,Baboose,0,20,20,0.0,0.0,1.0,0.0,566,Tweeter,0.0353356890459364,50,#BoredApeYatch,1.0
5944,guccheetah,0,20,20,0.0,0.0,1.0,0.0,3334,Tweeter,0.00599880023995201,50,#BoredApeYatch,1.0
5945,charles_lako,0,19,19,0.0,0.0,1.0,0.0,2972,Tweeter,0.00639300134589502,20,#BoredApeYatch,1.0
5946,freddming,0,19,19,0.0,0.0,1.0,0.0,1537,Tweeter,0.01236174365647365,20,#BoredApeYatch,1.0
5947,okx_intern,0,19,19,0.0,0.0,1.0,0.0,129276,Tweeter,0.00014697236919459142,20,#BoredApeYatch,1.0
5948,BottleneckNYC,0,19,19,0.0,0.0,1.0,0.0,36773,Tweeter,0.0005166834362167895,20,#BoredApeYatch,1.0
5949,RickTayalard,0,19,19,0.0,0.0,1.0,0.0,4496,Tweeter,0.004225978647686833,20,#BoredApeYatch,1.0
5950,RucioZ,0,19,19,0.0,0.0,1.0,0.0,3077,Tweeter,0.006174845628859279,20,#BoredApeYatch,1.0
5951,coderdannn,0,18,18,0.0,0.0,1.0,0.0,6916,Tweeter,0.0026026604973973396,20,#BoredApeYatch,1.0
5952,francescoglt,0,18,18,0.0,0.0,1.0,0.0,1648,Tweeter,0.010922330097087379,20,#BoredApeYatch,1.0
5953,Memo_Mx,0,18,18,0.0,0.0,1.0,0.0,6216,Tweeter,0.0028957528957528956,20,#BoredApeYatch,1.0
5954,thytreeofwisdom,0,18,18,0.0,0.0,1.0,0.0,351,Tweeter,0.05128205128205128,20,#BoredApeYatch,1.0
5955,goodmontheth,0,17,17,0.0,0.0,1.0,0.0,6158,Tweeter,0.0027606365703150373,20,#BoredApeYatch,1.0
5956,CurvelineFilms,0,17,17,0.0,0.0,1.0,0.0,414,Tweeter,0.04106280193236715,20,#BoredApeYatch,1.0
5957,lexokinetic,0,16,16,0.0,0.0,1.0,0.0,4900,Tweeter,0.0032653061224489797,20,#BoredApeYatch,1.0
5958,HuobiGlobal,0,16,16,0.0,0.0,1.0,0.0,1406967,Tweeter,1.1371979584453652e-05,20,#BoredApeYatch,1.0
5959,mikkaaaaaas,0,16,16,0.0,0.0,1.0,0.0,1276,Tweeter,0.012539184952978056,20,#BoredApeYatch,1.0
5960,HotBabySuzi,0,15,15,0.0,0.0,1.0,0.0,7917,Tweeter,0.0018946570670708603,20,#BoredApeYatch,1.0
5961,mazen2k,0,15,15,0.0,0.0,1.0,0.0,3779,Tweeter,0.00396930404869013,20,#BoredApeYatch,1.0
5962,jesscawildchild,0,14,14,0.0,0.0,1.0,0.0,12380,Tweeter,0.0011308562197092085,20,#BoredApeYatch,1.0
5963,Shiiiii_NFT,0,14,14,0.0,0.0,1.0,0.0,2681,Tweeter,0.005221932114882507,20,#BoredApeYatch,1.0
5964,_RickStack,0,14,14,0.0,0.0,1.0,0.0,1767,Tweeter,0.00792303338992643,20,#BoredApeYatch,1.0
5965,IIIIIlIIIlIIlIl,0,14,14,0.0,0.0,1.0,0.0,3536,Tweeter,0.003959276018099547,20,#BoredApeYatch,1.0
5966,BiRu_ml,0,13,13,0.0,0.0,1.0,0.0,1882,Tweeter,0.006907545164718385,20,#BoredApeYatch,1.0
5967,FPL_Beast,0,13,13,0.0,0.0,1.0,0.0,1644,Tweeter,0.007907542579075427,20,#BoredApeYatch,1.0
5968,majeswei,0,12,12,0.0,0.0,1.0,0.0,4814,Tweeter,0.0024927295388450354,20,#BoredApeYatch,1.0
5969,TheRealDrBombay,0,12,12,0.0,0.0,1.0,0.0,2712,Tweeter,0.004424778761061947,20,#BoredApeYatch,1.0
5970,FGTen4,0,11,11,0.0,0.0,1.0,0.0,8544,Tweeter,0.0012874531835205991,20,#BoredApeYatch,1.0
5971,ET42L,0,11,11,0.0,0.0,1.0,0.0,2590,Tweeter,0.0042471042471042475,20,#BoredApeYatch,1.0
5972,SuperexAcademy,0,11,11,0.0,0.0,1.0,0.0,1803,Tweeter,0.006100942872989462,20,#BoredApeYatch,1.0
5973,KyCryptonite,0,8,8,0.0,0.0,1.0,0.0,200,Tweeter,0.04,10,#BoredApeYatch,1.0
5974,NFTdavie,0,7,7,0.0,0.0,1.0,0.0,1764,Tweeter,0.003968253968253968,10,#BoredApeYatch,1.0
5975,debledcedric,0,7,7,0.0,0.0,1.0,1.0,691,Tweeter,0.010130246020260492,10,#BoredApeYatch,2.0
5976,nistaksa,0,7,7,0.0,0.0,1.0,0.0,5472,Tweeter,0.0012792397660818713,10,#BoredApeYatch,1.0
5977,gemelitopr5,0,7,7,0.0,0.0,1.0,0.0,248,Tweeter,0.028225806451612902,10,#BoredApeYatch,1.0
5978,Madfornfts,0,6,6,0.0,0.0,1.0,0.0,10017,Tweeter,0.0005989817310572028,10,#BoredApeYatch,1.0
5979,CodesHunterX,0,5,5,0.0,0.0,3.0,0.0,1283,Tweeter,0.003897116134060795,10,#BoredApeYatch,3.0
5980,PeckShieldAlert,0,5,5,0.0,0.0,1.0,0.0,51591,Tweeter,9.691612878215193e-05,10,#BoredApeYatch,1.0
5981,coin_milo,0,4,4,0.0,0.0,1.0,1.0,51230,Tweeter,7.807925043919578e-05,5,#BoredApeYatch,2.0
5982,DecentraDragon,0,4,4,0.0,0.0,2.0,0.0,12636,Tweeter,0.00031655587211142766,5,#BoredApeYatch,2.0
5983,BoredCatsYC,0,4,4,0.0,0.0,2.0,0.0,65,Tweeter,0.06153846153846154,5,#BoredApeYatch,2.0
5984,jpegjohny,0,4,4,0.0,0.0,1.0,0.0,32688,Tweeter,0.00012236906510034264,5,#BoredApeYatch,1.0
5985,Timex_India,0,4,4,0.0,0.0,2.0,0.0,17711,Tweeter,0.00022584834283778443,5,#BoredApeYatch,2.0
5986,TopNFTInfluence,0,3,3,0.0,0.0,1.0,0.0,558,Tweeter,0.005376344086021506,5,#BoredApeYatch,1.0
5987,Segmentair,0,3,3,0.0,0.0,1.0,0.0,1641,Tweeter,0.0018281535648994515,5,#BoredApeYatch,1.0
5988,darkzht,0,3,3,0.0,0.0,2.0,0.0,1276,Tweeter,0.0023510971786833857,5,#BoredApeYatch,2.0
5989,Versewarriors,0,3,3,0.0,0.0,1.0,1.0,1359,Tweeter,0.002207505518763797,5,#BoredApeYatch,2.0
5990,BabyApeFunClub,0,3,3,0.0,0.0,2.0,0.0,395,Tweeter,0.007594936708860759,5,#BoredApeYatch,2.0
5991,mad108prayer,0,2,2,0.0,0.0,1.0,0.0,28,Tweeter,0.07142857142857142,5,#BoredApeYatch,1.0
5992,Jamesjournal21,0,2,2,0.0,0.0,1.0,0.0,515,Tweeter,0.003883495145631068,5,#BoredApeYatch,1.0
5993,kl0ckd,0,2,2,0.0,0.0,1.0,0.0,3140,Tweeter,0.0006369426751592356,5,#BoredApeYatch,1.0
5994,nftpricezone1,0,2,2,0.0,0.0,2.0,0.0,2754,Tweeter,0.0007262164124909223,5,#BoredApeYatch,2.0
5995,BABYAPEAI,0,2,2,0.0,0.0,1.0,0.0,690,Tweeter,0.002898550724637681,5,#BoredApeYatch,1.0
5996,nft_tracker,0,2,2,0.0,0.0,2.0,0.0,9369,Tweeter,0.00021346995410395986,5,#BoredApeYatch,2.0
5997,NowhereMan1061,0,2,2,0.0,0.0,1.0,0.0,1160,Tweeter,0.0017241379310344827,5,#BoredApeYatch,1.0
5998,playdress_eth,0,2,2,0.0,0.0,1.0,0.0,22071,Tweeter,9.061664627792125e-05,5,#BoredApeYatch,1.0
5999,GhosttrapperUSA,0,2,2,0.0,0.0,2.0,0.0,8448,Tweeter,0.00023674242424242425,5,#BoredApeYatch,2.0
6000,HayatOutahar,0,2,2,0.0,0.0,1.0,0.0,3478,Tweeter,0.0005750431282346176,5,#BoredApeYatch,1.0
6001,ParayaNFT,0,1,1,0.0,0.0,1.0,0.0,127,Tweeter,0.007874015748031496,5,#BoredApeYatch,1.0
6002,bit_venus,0,1,1,0.0,0.0,1.0,0.0,58916,Tweeter,1.697331794419173e-05,5,#BoredApeYatch,1.0
6003,vinaaltaira_,0,1,1,0.0,0.0,1.0,0.0,587,Tweeter,0.0017035775127768314,5,#BoredApeYatch,1.0
6004,NFTHumanitarian,0,1,1,0.0,0.0,1.0,0.0,82,Tweeter,0.012195121951219513,5,#BoredApeYatch,1.0
6005,whitepaper_io,0,1,1,0.0,0.0,1.0,0.0,3939,Tweeter,0.0002538715410002539,5,#BoredApeYatch,1.0
6006,rapphaPUBG,0,1,1,0.0,0.0,1.0,0.0,407,Tweeter,0.002457002457002457,5,#BoredApeYatch,1.0
6007,alijabbari_art,0,1,1,0.0,0.0,1.0,0.0,323,Tweeter,0.0030959752321981426,5,#BoredApeYatch,1.0
6008,Boredettes,0,1,1,0.0,0.0,1.0,0.0,65,Tweeter,0.015384615384615385,5,#BoredApeYatch,1.0
6009,2xWhisky,0,1,1,0.0,0.0,1.0,0.0,6440,Tweeter,0.00015527950310559007,5,#BoredApeYatch,1.0
6010,nftgo_research,0,1,1,0.0,0.0,1.0,0.0,532,Tweeter,0.0018796992481203006,5,#BoredApeYatch,1.0
6011,kingkong45_eth,0,1,1,0.0,0.0,1.0,0.0,13473,Tweeter,7.422251911229867e-05,5,#BoredApeYatch,1.0
6012,TacoBaal,0,1,1,0.0,0.0,1.0,0.0,219,Tweeter,0.0045662100456621,5,#BoredApeYatch,1.0
6013,SuperbPortal,0,1,1,0.0,0.0,1.0,0.0,376,Tweeter,0.0026595744680851063,5,#BoredApeYatch,1.0
6014,lisa_j_a,0,1,1,0.0,0.0,1.0,0.0,48,Tweeter,0.020833333333333332,5,#BoredApeYatch,1.0
6015,Meta_Winners,0,1,1,0.0,0.0,1.0,0.0,121745,Tweeter,8.213889687461497e-06,5,#BoredApeYatch,1.0
6016,airlicky,0,1,1,0.0,0.0,1.0,0.0,4082,Tweeter,0.0002449779519843214,5,#BoredApeYatch,1.0
6017,amerroy_eth,0,1,1,0.0,0.0,1.0,0.0,382,Tweeter,0.002617801047120419,5,#BoredApeYatch,1.0
6018,brianromero,0,1,1,0.0,0.0,1.0,0.0,6972,Tweeter,0.00014343086632243257,5,#BoredApeYatch,1.0
6019,mutant11530,0,1,1,0.0,0.0,1.0,0.0,234,Tweeter,0.004273504273504274,5,#BoredApeYatch,1.0
6020,Crypto_News_BD,0,1,1,0.0,0.0,1.0,0.0,20295,Tweeter,4.927322000492732e-05,5,#BoredApeYatch,1.0
6021,bit_castle,0,1,1,0.0,0.0,1.0,0.0,38682,Tweeter,2.5851817382762007e-05,5,#BoredApeYatch,1.0
6022,DookeyDashBoost,0,1,1,0.0,0.0,1.0,0.0,285,Tweeter,0.0035087719298245615,5,#BoredApeYatch,1.0
6023,DtrStrnho,0,1,1,0.0,0.0,1.0,0.0,210,Tweeter,0.004761904761904762,5,#BoredApeYatch,1.0
6024,___dbox,0,1,1,0.0,0.0,1.0,0.0,214,Tweeter,0.004672897196261682,5,#BoredApeYatch,1.0
6025,ginidehnanda,0,1,1,0.0,0.0,1.0,0.0,183,Tweeter,0.00546448087431694,5,#BoredApeYatch,1.0
6026,OnftSven,0,1,1,0.0,0.0,1.0,0.0,1086,Tweeter,0.0009208103130755065,5,#BoredApeYatch,1.0
6027,photolator,0,1,1,0.0,0.0,1.0,0.0,622,Tweeter,0.001607717041800643,5,#BoredApeYatch,1.0
6028,TradingActuary,0,1,1,0.0,0.0,1.0,0.0,835,Tweeter,0.0011976047904191617,5,#BoredApeYatch,1.0
6029,babymoonfloki,0,1,1,0.0,0.0,1.0,0.0,9295,Tweeter,0.00010758472296933836,5,#BoredApeYatch,1.0
6030,gentlejay1,0,1,1,0.0,0.0,1.0,0.0,78,Tweeter,0.01282051282051282,5,#BoredApeYatch,1.0
6031,YukaApeYC,0,1,1,0.0,0.0,1.0,0.0,10,Tweeter,0.1,5,#BoredApeYatch,1.0
6032,DollySocietyNFT,0,1,1,0.0,0.0,1.0,0.0,6777,Tweeter,0.00014755791648221928,5,#BoredApeYatch,1.0
6033,Joindreams,0,1,1,0.0,0.0,1.0,0.0,572,Tweeter,0.0017482517482517483,5,#BoredApeYatch,1.0
6034,NftDropsCal,0,1,1,0.0,0.0,1.0,0.0,67356,Tweeter,1.4846487321099828e-05,5,#BoredApeYatch,1.0
6035,jungguk011997,1,0,1,0.00022593764121102577,0.0,0.0,1.0,233,retweeter,0.0,5,#BoredApeYatch,1.0
6036,kettz_77,1,0,1,0.00022593764121102577,0.0,0.0,1.0,1,retweeter,0.0,5,#BoredApeYatch,1.0
6037,kertasatulembar,1,0,1,0.00022593764121102577,0.0,0.0,1.0,41,retweeter,0.0,5,#BoredApeYatch,1.0
6038,jw00kims,1,0,1,0.00022593764121102577,0.0,0.0,1.0,482,retweeter,0.0,5,#BoredApeYatch,1.0
6039,jweignwins,1,0,1,0.00022593764121102577,0.0,0.0,1.0,95,retweeter,0.0,5,#BoredApeYatch,1.0
6040,jwoosnowin,1,0,1,0.00022593764121102577,0.0,0.0,1.0,1140,retweeter,0.0,5,#BoredApeYatch,1.0
6041,kenishere5,1,0,1,0.00022593764121102577,0.0,0.0,1.0,38,retweeter,0.0,5,#BoredApeYatch,1.0
6042,khrieshxxi,1,0,1,0.00022593764121102577,0.0,0.0,1.0,558,retweeter,0.0,5,#BoredApeYatch,1.0
6043,jwsyoi,1,0,1,0.00022593764121102577,0.0,0.0,1.0,105,retweeter,0.0,5,#BoredApeYatch,1.0
6044,kiaasyahra,1,0,1,0.00022593764121102577,0.0,0.0,2.0,360,retweeter,0.0,5,#BoredApeYatch,2.0
6045,kellycrews51,1,0,1,0.00022593764121102577,0.0,0.0,1.0,3,retweeter,0.0,5,#BoredApeYatch,1.0
6046,keksoni1,1,0,1,0.00022593764121102577,0.0,0.0,1.0,0,retweeter,,5,#BoredApeYatch,1.0
6047,jxsootrtlrbbtkm,1,0,1,0.00022593764121102577,0.0,0.0,1.0,223,retweeter,0.0,5,#BoredApeYatch,1.0
6048,jxss1ca,1,0,1,0.00022593764121102577,0.0,0.0,1.0,1,retweeter,0.0,5,#BoredApeYatch,1.0
6049,kingMasnad,1,0,1,0.00022593764121102577,0.0,0.0,1.0,5,retweeter,0.0,5,#BoredApeYatch,1.0
6050,kety771126,1,0,1,0.00022593764121102577,0.0,0.0,1.0,0,retweeter,,5,#BoredApeYatch,1.0
6051,jungkoxie,1,0,1,0.00022593764121102577,0.0,0.0,1.0,92,retweeter,0.0,5,#BoredApeYatch,1.0
6052,junnwin,1,0,1,0.00022593764121102577,0.0,0.0,1.0,37,retweeter,0.0,5,#BoredApeYatch,1.0
6053,jungwondo_,1,0,1,0.00022593764121102577,0.0,0.0,1.0,214,retweeter,0.0,5,#BoredApeYatch,1.0
6054,khaptd41,1,0,1,0.00022593764121102577,0.0,0.0,1.0,2,retweeter,0.0,5,#BoredApeYatch,1.0
6055,kinglearBTC,1,0,1,0.00022593764121102577,0.0,0.0,1.0,27,retweeter,0.0,5,#BoredApeYatch,1.0
6056,khalidelarabi1,1,0,1,0.00022593764121102577,0.0,0.0,1.0,0,retweeter,,5,#BoredApeYatch,1.0
6057,khaled201306,1,0,1,0.00022593764121102577,0.0,0.0,1.0,0,retweeter,,5,#BoredApeYatch,1.0
6058,jungwonjungwins,1,0,1,0.00022593764121102577,0.0,0.0,1.0,22,retweeter,0.0,5,#BoredApeYatch,1.0
6059,kh_khim,1,0,1,0.00022593764121102577,0.0,0.0,1.0,1,retweeter,0.0,5,#BoredApeYatch,1.0
6060,juonn86,1,0,1,0.00022593764121102577,0.0,0.0,1.0,0,retweeter,,5,#BoredApeYatch,1.0
6061,kevinaldocs1,1,0,1,0.00022593764121102577,0.0,0.0,1.0,0,retweeter,,5,#BoredApeYatch,1.0
6062,kgirari,1,0,1,0.00022593764121102577,0.0,0.0,1.0,104,retweeter,0.0,5,#BoredApeYatch,1.0
6063,kingkhan434gmai,1,0,1,0.00022593764121102577,0.0,0.0,1.0,1,retweeter,0.0,5,#BoredApeYatch,1.0
6064,jurigtundagan,2,0,2,0.00045187528242205153,0.0,0.0,2.0,363,retweeter,0.0,5,#BoredApeYatch,2.0
6065,jxumil,1,0,1,0.00022593764121102577,0.0,0.0,2.0,218,retweeter,0.0,5,#BoredApeYatch,2.0
6066,khled_502,1,0,1,0.00022593764121102577,0.0,0.0,1.0,0,retweeter,,5,#BoredApeYatch,1.0
6067,justbernice2,1,0,1,0.00022593764121102577,0.0,0.0,1.0,145,retweeter,0.0,5,#BoredApeYatch,1.0
6068,justtoobadass,1,0,1,0.00022593764121102577,0.0,0.0,1.0,1,retweeter,0.0,5,#BoredApeYatch,1.0
6069,justabitofCloud,1,0,1,0.00022593764121102577,0.0,0.0,1.0,29,retweeter,0.0,5,#BoredApeYatch,1.0
6070,kiaria_seven,1,0,1,0.00022593764121102577,0.0,0.0,1.0,24,retweeter,0.0,5,#BoredApeYatch,1.0
6071,keiynazwin,1,0,1,0.00022593764121102577,0.0,0.0,1.0,108,retweeter,0.0,5,#BoredApeYatch,1.0
6072,kamilaxoxo2,1,0,1,0.00022593764121102577,0.0,0.0,1.0,29,retweeter,0.0,5,#BoredApeYatch,1.0
6073,kanemot01,1,0,1,0.00022593764121102577,0.0,0.0,1.0,341,retweeter,0.0,5,#BoredApeYatch,1.0
6074,kangchungreborn,1,0,1,0.00022593764121102577,0.0,0.0,1.0,72,retweeter,0.0,5,#BoredApeYatch,1.0
6075,kaniycane,1,0,1,0.00022593764121102577,0.0,0.0,1.0,40,retweeter,0.0,5,#BoredApeYatch,1.0
6076,kanz8721,1,0,1,0.00022593764121102577,0.0,0.0,1.0,33,retweeter,0.0,5,#BoredApeYatch,1.0
6077,kanzhu09,1,0,1,0.00022593764121102577,0.0,0.0,1.0,45,retweeter,0.0,5,#BoredApeYatch,1.0
6078,kaokall72,1,0,1,0.00022593764121102577,0.0,0.0,1.0,26,retweeter,0.0,5,#BoredApeYatch,1.0
6079,katemwinters,1,0,1,0.00022593764121102577,0.0,0.0,1.0,0,retweeter,,5,#BoredApeYatch,1.0
6080,kikiyoujin87,1,0,1,0.00022593764121102577,0.0,0.0,1.0,1,retweeter,0.0,5,#BoredApeYatch,1.0
6081,kikiamWinner,1,0,1,0.00022593764121102577,0.0,0.0,1.0,116,retweeter,0.0,5,#BoredApeYatch,1.0
6082,kaptendonghyuck,1,0,1,0.00022593764121102577,0.0,0.0,1.0,1234,retweeter,0.0,5,#BoredApeYatch,1.0
6083,khshtaj,1,0,1,0.00022593764121102577,0.0,0.0,1.0,5,retweeter,0.0,5,#BoredApeYatch,1.0
6084,kara23161,1,0,1,0.00022593764121102577,0.0,0.0,1.0,0,retweeter,,5,#BoredApeYatch,1.0
